commit_hash,date,author,file_path,lines_added,lines_deleted,churn,is_bug_fix,commit_message
64206c1,2021-01-29T11:26:17-08:00,David Lord,src/flask/app.py,1,4,5,1,simplify InternalServerError.original_exception
eb42655,2021-01-29T11:03:33-08:00,David Lord,src/flask/app.py,4,11,15,1,simplify BadRequestKeyError.show_exception
14f5636,2021-01-29T10:52:48-08:00,David Lord,src/flask/helpers.py,21,3,24,0,rename send_file add_etags to etag
1936ca8,2021-01-29T10:52:48-08:00,David Lord,src/flask/app.py,1,1,2,0,remove BaseRequest and BaseResponse
1936ca8,2021-01-29T10:52:48-08:00,David Lord,src/flask/testing.py,1,1,2,0,remove BaseRequest and BaseResponse
1936ca8,2021-01-29T10:52:48-08:00,David Lord,src/flask/wrappers.py,1,1,2,0,remove BaseRequest and BaseResponse
fdba0d2,2021-01-29T10:52:48-08:00,David Lord,src/flask/wrappers.py,11,15,26,0,remove JSONMixin
2fab8a3,2021-01-04T10:32:01+08:00,Grey Li,src/flask/json/__init__.py,3,3,6,1,Fix broken func directives in docstrings
aff21fd,2021-01-04T09:45:01+08:00,huimingz,src/flask/json/__init__.py,1,1,2,1,"Document parameter description error

The loads function has the wrong 'kwargs' parameter descriptio"
eb41e7e,2021-01-03T13:57:45+08:00,Grey Li,tests/test_basic.py,2,0,2,0,Silence pytest warnings for exception propagation test
dc11cdb,2020-11-05T09:27:52-08:00,David Lord,src/flask/app.py,14,10,24,1,"move send_file and send_from_directory to Werkzeug

The implementations were moved to Werkzeug, Flas"
dc11cdb,2020-11-05T09:27:52-08:00,David Lord,src/flask/helpers.py,187,288,475,1,"move send_file and send_from_directory to Werkzeug

The implementations were moved to Werkzeug, Flas"
dc11cdb,2020-11-05T09:27:52-08:00,David Lord,tests/test_blueprints.py,1,1,2,1,"move send_file and send_from_directory to Werkzeug

The implementations were moved to Werkzeug, Flas"
dc11cdb,2020-11-05T09:27:52-08:00,David Lord,tests/test_helpers.py,18,322,340,1,"move send_file and send_from_directory to Werkzeug

The implementations were moved to Werkzeug, Flas"
dc11cdb,2020-11-05T09:27:52-08:00,David Lord,tests/test_regression.py,0,8,8,1,"move send_file and send_from_directory to Werkzeug

The implementations were moved to Werkzeug, Flas"
22987b6,2020-11-04T18:16:05-08:00,Mathurshan Vimalesvaran,src/flask/sessions.py,5,3,8,0,include samesite and secure when removing session cookie (#3726)
22987b6,2020-11-04T18:16:05-08:00,Mathurshan Vimalesvaran,tests/test_basic.py,13,0,13,0,include samesite and secure when removing session cookie (#3726)
7a444c5,2020-11-04T18:00:21-08:00,David Lord,src/flask/testing.py,35,27,62,0,"update tests for new werkzeug client (#3827)

Flask's client.open mirrors Werkzeug's for processing "
7a444c5,2020-11-04T18:00:21-08:00,David Lord,tests/test_json.py,2,2,4,0,"update tests for new werkzeug client (#3827)

Flask's client.open mirrors Werkzeug's for processing "
373f0dd,2020-11-01T05:30:02-08:00,David Lord,src/flask/blueprints.py,2,4,6,0,update requirements (#3823)
373f0dd,2020-11-01T05:30:02-08:00,David Lord,src/flask/scaffold.py,1,2,3,0,update requirements (#3823)
373f0dd,2020-11-01T05:30:02-08:00,David Lord,tests/test_basic.py,2,1,3,0,update requirements (#3823)
6def8a4,2020-10-31T20:18:25-07:00,David Lord,tests/test_json.py,10,0,10,0,test json.dumps for object with __html__ method
a0e2aca,2020-10-31T20:16:24-07:00,David Lord,tests/test_helpers.py,0,380,380,0,move json tests to separate file
a0e2aca,2020-10-31T20:16:24-07:00,David Lord,tests/test_json.py,402,0,402,0,move json tests to separate file
1c6dc15,2020-10-31T19:19:11-07:00,David Lord,src/flask/wrappers.py,1,1,2,1,fix response bases order
5d60cce,2020-10-29T09:33:20-07:00,Sebastian Höffner,src/flask/helpers.py,1,1,2,0,Updating external_url_handler example to Python 3 (#3816)
1035efc,2020-10-15T14:08:37-07:00,Grey Li,docs/conf.py,1,0,1,1,"Add command switch tabs for Bash, CMD and Powershell with sphinx-tabs (#3714)

* Enable Sphinx exten"
8c6baee,2020-10-11T19:16:17-07:00,Paul Sanders,tests/test_helpers.py,15,15,30,0,parametrize some tests (#3786)
bdf7083,2020-10-07T08:06:29-07:00,Matěj Volf,src/flask/blueprints.py,1,1,2,0,refer to encoder instead of decoder
8efea0c,2020-10-03T10:05:05-04:00,Bogdan Opanchuk,src/flask/app.py,5,1,6,1,"Break reference cycle created by default in Flask instances.

Flask instances with static folders we"
8efea0c,2020-10-03T10:05:05-04:00,Bogdan Opanchuk,tests/test_basic.py,24,0,24,1,"Break reference cycle created by default in Flask instances.

Flask instances with static folders we"
5bfe236,2020-08-26T09:20:21-07:00,ongopongo,src/flask/cli.py,1,1,2,1,fix typo in flask shell help (#3744)
1f1b65a,2020-08-23T08:56:24+02:00,WolframAlph,src/flask/blueprints.py,1,1,2,1,fixed #3738 typo in src/flask/blueprints.py
cf3089a,2020-08-13T10:44:43+02:00,Nils Philippsen,src/flask/cli.py,1,1,2,0,"Discover app factory deterministically

Commit 2ae740dd4903bbe5f3864384bcdf2ab2d4638bce probably ina"
414b30b,2020-08-07T19:01:42+08:00,Grey Li,docs/conf.py,1,1,2,1,Fix bad intersphinx link
b146a13,2020-08-01T07:45:58-07:00,yk396,src/flask/app.py,14,353,367,0,"extract common Flask/Blueprint API to Scaffold base class

Co-authored-by: Chris Nguyen <chrisngyn99"
b146a13,2020-08-01T07:45:58-07:00,yk396,src/flask/blueprints.py,43,134,177,0,"extract common Flask/Blueprint API to Scaffold base class

Co-authored-by: Chris Nguyen <chrisngyn99"
b146a13,2020-08-01T07:45:58-07:00,yk396,src/flask/helpers.py,0,8,8,0,"extract common Flask/Blueprint API to Scaffold base class

Co-authored-by: Chris Nguyen <chrisngyn99"
b146a13,2020-08-01T07:45:58-07:00,yk396,src/flask/scaffold.py,411,0,411,0,"extract common Flask/Blueprint API to Scaffold base class

Co-authored-by: Chris Nguyen <chrisngyn99"
2535707,2020-07-30T18:36:55-07:00,David Lord,src/flask/cli.py,22,24,46,1,"cleaner message when CLI can't load app

When loading the app fails for the --help command, only the"
2535707,2020-07-30T18:36:55-07:00,David Lord,tests/conftest.py,9,3,12,1,"cleaner message when CLI can't load app

When loading the app fails for the --help command, only the"
2535707,2020-07-30T18:36:55-07:00,David Lord,tests/test_cli.py,25,10,35,1,"cleaner message when CLI can't load app

When loading the app fails for the --help command, only the"
75a9b74,2020-07-26T15:47:12+02:00,Martin Thoma,tests/test_cli.py,0,10,10,0,DOC: Remove unnecessary docstrings
75a9b74,2020-07-26T15:47:12+02:00,Martin Thoma,tests/test_helpers.py,0,3,3,0,DOC: Remove unnecessary docstrings
7b09a09,2020-07-23T16:53:39-07:00,Christopher Nguyen,src/flask/app.py,1,1,2,0,change make_response to use headers.update
7b09a09,2020-07-23T16:53:39-07:00,Christopher Nguyen,tests/test_basic.py,6,3,9,0,change make_response to use headers.update
4a1acc8,2020-07-08T15:53:43+02:00,Armin Ronacher,src/flask/helpers.py,2,1,3,1,Some small doc fixes
b724832,2020-07-06T13:47:57-04:00,Joshua Bronson,src/flask/helpers.py,1,1,2,0,Cherry-pick 7ba35c4 from master (support pathlib.Path for static_folder)
b724832,2020-07-06T13:47:57-04:00,Joshua Bronson,tests/test_basic.py,10,0,10,0,Cherry-pick 7ba35c4 from master (support pathlib.Path for static_folder)
7ba35c4,2020-07-06T08:55:19-04:00,Joshua Bronson,src/flask/helpers.py,1,1,2,1,"Restore support for using pathlib.Path for static_folder.

* No longer causes AttributeError: 'Posix"
7ba35c4,2020-07-06T08:55:19-04:00,Joshua Bronson,tests/test_basic.py,10,0,10,1,"Restore support for using pathlib.Path for static_folder.

* No longer causes AttributeError: 'Posix"
84cbfc0,2020-07-05T09:37:03+08:00,Grey Li,src/flask/cli.py,0,7,7,0,Stop change CWD to .env/.flaskenv location
84cbfc0,2020-07-05T09:37:03+08:00,Grey Li,tests/test_cli.py,1,1,2,0,Stop change CWD to .env/.flaskenv location
eea31f2,2020-05-23T14:03:11-07:00,David Lord,setup.py,1,12,13,0,use pip-compile to pin dev requirements
846ee2c,2020-04-16T10:49:42-07:00,jackwardell,src/flask/app.py,3,1,4,1,add assert message for errorhandler exception type
846ee2c,2020-04-16T10:49:42-07:00,jackwardell,tests/test_user_error_handler.py,8,0,8,1,add assert message for errorhandler exception type
ff2f713,2020-04-07T17:54:51-07:00,David Lord,src/flask/cli.py,63,37,100,0,"use ast to parse FLASK_APP

enables keyword arguments to factory functions"
ff2f713,2020-04-07T17:54:51-07:00,David Lord,tests/test_cli.py,0,1,1,0,"use ast to parse FLASK_APP

enables keyword arguments to factory functions"
fcac7f1,2020-04-07T15:54:36-07:00,David Lord,src/flask/cli.py,15,8,23,0,deprecate passing script_info to factory
fcac7f1,2020-04-07T15:54:36-07:00,David Lord,tests/test_apps/cliapp/factory.py,0,4,4,0,deprecate passing script_info to factory
fcac7f1,2020-04-07T15:54:36-07:00,David Lord,tests/test_cli.py,24,19,43,0,deprecate passing script_info to factory
756902c,2020-04-07T13:37:14-07:00,David Lord,src/flask/json/__init__.py,119,102,221,0,update json docs
756902c,2020-04-07T13:37:14-07:00,David Lord,src/flask/json/tag.py,4,4,8,0,update json docs
8b5f760,2020-04-07T12:32:27-07:00,David Lord,src/flask/json/__init__.py,54,48,102,0,"deprecate JSON encoding options

make consistent with built-in json module"
8b5f760,2020-04-07T12:32:27-07:00,David Lord,tests/test_helpers.py,0,1,1,0,"deprecate JSON encoding options

make consistent with built-in json module"
c43edfc,2020-04-07T09:55:39-07:00,David Lord,src/flask/json/__init__.py,20,69,89,0,"remove simplejson

- remove encoding detection backport, json.loads supports it directly
- use str.t"
c43edfc,2020-04-07T09:55:39-07:00,David Lord,tests/test_helpers.py,0,21,21,0,"remove simplejson

- remove encoding detection backport, json.loads supports it directly
- use str.t"
